variant,vis_d_model,aud_d_model,params_M,size_MB,accuracy,auc,loss_gap,completed_at
V1e,192,192,2.677441,10.30655288696289,0.5451505016722408,0.5777923132443161,-0.5861542132767765,2025-10-04 14:07:34
V1f,128,96,2.225761,8.58353042602539,0.8896321070234113,0.962333092746301,-0.1574311521920291,2025-10-04 14:12:07
V1g,96,128,2.225761,8.58353042602539,0.9297658862876255,0.9771743053049441,-0.12388368357311597,2025-10-04 14:16:42
