variant,vis_d_model,aud_d_model,params_M,size_MB,accuracy,auc,loss_gap,completed_at
V1a,64,64,2.026433,7.823154449462891,0.5251798561151079,0.6954649232046493,-0.8214179540222342,2025-10-04 12:43:19
V1b,96,96,2.150785,8.29751968383789,0.8705035971223022,0.9638854296388543,-0.18451493111523717,2025-10-04 12:47:55
V1d,160,160,2.476289,9.53921890258789,0.9460431654676259,0.9911789124117891,-0.06924840333786877,2025-10-04 12:52:30
